Stations: Seattle Duwamish Vly,
QMUs: Light Scatter eco_9003_2 | Pm2.5 MetOne Bam | Pm2.5 Nephelometer,
Aggregates: 1-Hour Average,
Query Start Date: 5/20/2026 ,
Query End Date: 6/1/2026,
File Creation Date: 6/1/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg
5/27/2026 12:00:00 PM,0.1150000000,6.3000000000,3.3000000000
5/27/2026 1:00:00 PM,0.1310000000,4.7000000000,3.7000000000
5/27/2026 2:00:00 PM,0.1180000000,4.9000000000,3.4000000000
5/27/2026 3:00:00 PM,0.1140000000,3.3000000000,3.2000000000
5/27/2026 4:00:00 PM,0.1080000000,3.5000000000,3.1000000000
5/27/2026 5:00:00 PM,0.1030000000,2.3000000000,2.9000000000
5/27/2026 6:00:00 PM,0.1070000000,5.9000000000,3.0000000000
5/27/2026 7:00:00 PM,0.1110000000,5.8000000000,3.1000000000
5/27/2026 8:00:00 PM,0.1110000000,4.9000000000,3.2000000000
5/27/2026 9:00:00 PM,0.1130000000,4.2000000000,3.2000000000
5/27/2026 10:00:00 PM,0.1810000000,6.0000000000,5.1000000000
5/27/2026 11:00:00 PM,0.1520000000,3.9000000000,4.3000000000
5/28/2026 12:00:00 AM,0.1650000000,2.0000000000,4.7000000000
5/28/2026 1:00:00 AM,0.2090000000,4.6000000000,5.9000000000
5/28/2026 2:00:00 AM,0.1720000000,10.7000000000,4.9000000000
5/28/2026 3:00:00 AM,0.1970000000,11.7000000000,5.6000000000
5/28/2026 4:00:00 AM,0.2990000000,11.6000000000,8.4000000000
5/28/2026 5:00:00 AM,0.2870000000,11.8000000000,8.1000000000
5/28/2026 6:00:00 AM,0.3430000000,14.9000000000,9.7000000000
5/28/2026 7:00:00 AM,0.3080000000,13.5000000000,8.7000000000
5/28/2026 8:00:00 AM,0.4040000000,17.2000000000,11.4000000000
5/28/2026 9:00:00 AM,0.2870000000,12.8000000000,8.1000000000
5/28/2026 10:00:00 AM,0.1800000000,7.8000000000,5.1000000000
5/28/2026 11:00:00 AM,0.1510000000,4.3000000000,4.3000000000
5/28/2026 12:00:00 PM,0.1540000000,2.8000000000,4.4000000000
5/28/2026 1:00:00 PM,0.1650000000,3.7000000000,4.7000000000
5/28/2026 2:00:00 PM,0.1880000000,7.7000000000,5.3000000000
5/28/2026 3:00:00 PM,0.2010000000,7.7000000000,5.7000000000
5/28/2026 4:00:00 PM,0.1670000000,8.5000000000,4.7000000000
5/28/2026 5:00:00 PM,0.1940000000,9.3000000000,5.5000000000
5/28/2026 6:00:00 PM,0.1880000000,6.1000000000,5.3000000000
5/28/2026 7:00:00 PM,0.2090000000,8.4000000000,5.9000000000
5/28/2026 8:00:00 PM,0.2620000000,6.2000000000,7.4000000000
5/28/2026 9:00:00 PM,0.1910000000,2.6000000000,5.4000000000
5/28/2026 10:00:00 PM,0.1290000000,3.2000000000,3.7000000000
5/28/2026 11:00:00 PM,0.1030000000,3.6000000000,2.9000000000
5/29/2026 12:00:00 AM,0.0990000000,4.8000000000,2.8000000000
5/29/2026 1:00:00 AM,0.0770000000,4.8000000000,2.2000000000
5/29/2026 2:00:00 AM,0.0710000000,3.2000000000,2.0000000000
5/29/2026 3:00:00 AM,0.1070000000,4.3000000000,3.0000000000
5/29/2026 4:00:00 AM,0.1430000000,6.4000000000,4.0000000000
5/29/2026 5:00:00 AM,0.1380000000,4.4000000000,3.9000000000
5/29/2026 6:00:00 AM,0.1870000000,6.1000000000,5.3000000000
5/29/2026 7:00:00 AM,0.1730000000,4.9000000000,4.9000000000
5/29/2026 8:00:00 AM,0.1350000000,7.3000000000,3.8000000000
5/29/2026 9:00:00 AM,0.2000000000,7.6000000000,5.7000000000
5/29/2026 10:00:00 AM,0.2280000000,5.8000000000,6.4000000000
5/29/2026 11:00:00 AM,0.2250000000,7.0000000000,6.4000000000
5/29/2026 12:00:00 PM,0.2530000000,7.3000000000,7.1000000000
5/29/2026 1:00:00 PM,0.2500000000,5.0000000000,7.1000000000
5/29/2026 2:00:00 PM,0.2660000000,4.6000000000,7.5000000000
5/29/2026 3:00:00 PM,0.2740000000,4.5000000000,7.7000000000
5/29/2026 4:00:00 PM,0.2610000000,6.8000000000,7.4000000000
5/29/2026 5:00:00 PM,0.2080000000,6.1000000000,5.9000000000
5/29/2026 6:00:00 PM,0.1670000000,5.4000000000,4.7000000000
5/29/2026 7:00:00 PM,0.1720000000,7.2000000000,4.9000000000
5/29/2026 8:00:00 PM,0.2010000000,9.2000000000,5.7000000000
5/29/2026 9:00:00 PM,0.1930000000,7.4000000000,5.5000000000
5/29/2026 10:00:00 PM,0.1820000000,5.2000000000,5.1000000000
5/29/2026 11:00:00 PM,0.1520000000,5.6000000000,4.3000000000
5/30/2026 12:00:00 AM,0.1410000000,3.8000000000,4.0000000000
5/30/2026 1:00:00 AM,0.1170000000,-0.4000000000,3.3000000000
5/30/2026 2:00:00 AM,0.0990000000,5.3000000000,2.8000000000
5/30/2026 3:00:00 AM,0.0910000000,6.6000000000,2.6000000000
5/30/2026 4:00:00 AM,0.1280000000,4.8000000000,3.6000000000
5/30/2026 5:00:00 AM,0.1640000000,5.5000000000,4.7000000000
5/30/2026 6:00:00 AM,0.1830000000,5.8000000000,5.2000000000
5/30/2026 7:00:00 AM,0.1240000000,4.5000000000,3.5000000000
5/30/2026 8:00:00 AM,0.1070000000,3.6000000000,3.0000000000
5/30/2026 9:00:00 AM,0.1270000000,3.5000000000,3.6000000000
5/30/2026 10:00:00 AM,0.1140000000,5.4000000000,3.2000000000
5/30/2026 11:00:00 AM,0.1080000000,3.8000000000,3.1000000000
5/30/2026 12:00:00 PM,0.1140000000,3.1000000000,3.2000000000
5/30/2026 1:00:00 PM,0.1210000000,2.2000000000,3.4000000000
5/30/2026 2:00:00 PM,0.1170000000,3.1000000000,3.3000000000
5/30/2026 3:00:00 PM,0.1180000000,6.6000000000,3.3000000000
5/30/2026 4:00:00 PM,0.1120000000,4.5000000000,3.2000000000
5/30/2026 5:00:00 PM,0.1000000000,2.9000000000,2.8000000000
5/30/2026 6:00:00 PM,0.0870000000,3.8000000000,2.5000000000
5/30/2026 7:00:00 PM,0.0960000000,3.6000000000,2.7000000000
5/30/2026 8:00:00 PM,0.0960000000,0.9000000000,2.7000000000
5/30/2026 9:00:00 PM,0.1090000000,1.0000000000,3.1000000000
5/30/2026 10:00:00 PM,0.1200000000,6.4000000000,3.4000000000
5/30/2026 11:00:00 PM,0.1290000000,5.1000000000,3.6000000000
5/31/2026 12:00:00 AM,0.1260000000,5.7000000000,3.6000000000
5/31/2026 1:00:00 AM,0.1210000000,5.8000000000,3.4000000000
5/31/2026 2:00:00 AM,0.1090000000,4.3000000000,3.1000000000
5/31/2026 3:00:00 AM,0.1000000000,4.7000000000,2.8000000000
5/31/2026 4:00:00 AM,0.1050000000,3.3000000000,3.0000000000
5/31/2026 5:00:00 AM,0.0990000000,5.8000000000,2.8000000000
5/31/2026 6:00:00 AM,0.0900000000,8.1000000000,2.6000000000
5/31/2026 7:00:00 AM,0.0860000000,6.6000000000,2.4000000000
5/31/2026 8:00:00 AM,0.1050000000,3.1000000000,3.0000000000
5/31/2026 9:00:00 AM,0.1110000000,2.8000000000,3.2000000000
5/31/2026 10:00:00 AM,0.0930000000,2.1000000000,2.6000000000
5/31/2026 11:00:00 AM,0.0900000000,3.2000000000,2.6000000000
5/31/2026 12:00:00 PM,0.0790000000,2.9000000000,2.3000000000
5/31/2026 1:00:00 PM,0.0750000000,0.7000000000,2.1000000000
5/31/2026 2:00:00 PM,0.0810000000,2.0000000000,2.3000000000
5/31/2026 3:00:00 PM,0.0750000000,2.6000000000,2.1000000000
5/31/2026 4:00:00 PM,0.0740000000,2.0000000000,2.1000000000
5/31/2026 5:00:00 PM,0.0810000000,0.7000000000,2.3000000000
5/31/2026 6:00:00 PM,0.0910000000,0.2000000000,2.6000000000
5/31/2026 7:00:00 PM,0.0990000000,1.8000000000,2.8000000000
5/31/2026 8:00:00 PM,0.0970000000,5.7000000000,2.8000000000
5/31/2026 9:00:00 PM,0.1030000000,6.7000000000,2.9000000000
5/31/2026 10:00:00 PM,0.1190000000,7.8000000000,3.4000000000
5/31/2026 11:00:00 PM,0.1170000000,6.8000000000,3.3000000000
6/1/2026 12:00:00 AM,,5.6000000000,
6/1/2026 1:00:00 AM,0.1250000000,4.4000000000,3.6000000000
6/1/2026 2:00:00 AM,0.1330000000,3.2000000000,3.8000000000
6/1/2026 3:00:00 AM,0.1380000000,5.2000000000,3.9000000000
6/1/2026 4:00:00 AM,0.1560000000,6.6000000000,4.4000000000
6/1/2026 5:00:00 AM,0.2570000000,6.9000000000,7.3000000000
6/1/2026 6:00:00 AM,0.1870000000,5.2000000000,5.3000000000
6/1/2026 7:00:00 AM,0.2080000000,7.6000000000,5.9000000000
6/1/2026 8:00:00 AM,0.1930000000,5.4000000000,5.4000000000
6/1/2026 9:00:00 AM,0.1470000000,3.0000000000,4.2000000000
6/1/2026 10:00:00 AM,0.1560000000,10.0000000000,4.4000000000
6/1/2026 11:00:00 AM,0.1340000000,10.9000000000,3.8000000000
6/1/2026 12:00:00 PM,0.1390000000,11.9000000000,3.9000000000
6/1/2026 1:00:00 PM,0.1510000000,7.3000000000,4.3000000000
6/1/2026 2:00:00 PM,,,
6/1/2026 3:00:00 PM,,,
6/1/2026 4:00:00 PM,,,
6/1/2026 5:00:00 PM,,,
6/1/2026 6:00:00 PM,,,
6/1/2026 7:00:00 PM,,,
6/1/2026 8:00:00 PM,,,
6/1/2026 9:00:00 PM,,,
6/1/2026 10:00:00 PM,,,
6/1/2026 11:00:00 PM,,,
