Stations: Seattle Duwamish Vly,
QMUs: Pm2.5 Nephelometer | Barometric Pressure | Light Scatter eco_9003_2 | Nitric Oxide (NO_CAPS) | Nitrogen Dioxide (NO2_CAPS) | NItrogen Oxides (NOx_CAPS) | Pm10 MetOne Bam | Pm2.5 Black Carbon_633 | Pm2.5 MetOne Bam | Pm2.5 Partisol  (daily) | Pm2.5 Partisol  (daily) collocated | Pm2.5 uv Absorbance_633 | Temperature | Visual Range | Wind Direction Sonic | Wind Speed Sonic,
Aggregates: 1-Hour Average,
Query Start Date: 4/28/2026 ,
Query End Date: 5/13/2026,
File Creation Date: 5/13/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - AmbPres - kPa - 1Hr Avg,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - NO_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - NO2_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - NOx_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - Pm10MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25bc - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25uv - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Temp - degF - 1Hr Avg,Seattle Duwamish Vly - VisualRange - miles - 1Hr Avg,Seattle Duwamish Vly - WD Sonic - deg(frm N) - 1Hr Avg,Seattle Duwamish Vly - WS Sonic - mph - 1Hr Avg
5/5/2026 11:00:00 AM,7.2000000000,,0.2570000000,1.2980000000,4.6000000000,5.9250000000,19.6000000000,0.6420000000,10.6000000000,0.7290000000,,62.0000000000,,
5/5/2026 12:00:00 PM,7.3000000000,,0.2580000000,1.2440000000,3.8000000000,5.0610000000,15.7000000000,0.4840000000,7.3000000000,0.5690000000,,61.0000000000,,
5/5/2026 1:00:00 PM,6.7000000000,,0.2360000000,1.3430000000,3.4000000000,4.8090000000,11.7000000000,0.4330000000,5.9000000000,0.4840000000,,65.0000000000,,
5/5/2026 2:00:00 PM,6.4000000000,,0.2280000000,1.1970000000,3.0000000000,4.2790000000,15.4000000000,0.3760000000,5.8000000000,0.4220000000,,67.0000000000,,
5/5/2026 3:00:00 PM,6.5000000000,,0.2310000000,1.1310000000,2.2000000000,3.3490000000,13.7000000000,0.3090000000,6.0000000000,0.3610000000,,66.0000000000,,
5/5/2026 4:00:00 PM,6.9000000000,,0.2460000000,0.6550000000,2.4000000000,3.0820000000,10.1000000000,0.3000000000,8.1000000000,0.3510000000,,63.0000000000,,
5/5/2026 5:00:00 PM,7.1000000000,,0.2510000000,0.5060000000,2.5000000000,3.0410000000,16.2000000000,0.3160000000,7.4000000000,0.3650000000,,63.0000000000,,
5/5/2026 6:00:00 PM,7.1000000000,,0.2520000000,0.3620000000,3.3000000000,3.7430000000,14.4000000000,0.4070000000,9.9000000000,0.4700000000,,62.0000000000,,
5/5/2026 7:00:00 PM,7.6000000000,,0.2690000000,0.5130000000,5.7000000000,6.2580000000,16.1000000000,0.4900000000,10.4000000000,0.5760000000,,60.0000000000,,
5/5/2026 8:00:00 PM,9.3000000000,,0.3280000000,1.1380000000,12.1000000000,13.2610000000,27.3000000000,1.1790000000,9.9000000000,1.3230000000,,52.0000000000,,
5/5/2026 9:00:00 PM,7.2000000000,,0.2550000000,0.2930000000,5.2000000000,5.5390000000,21.2000000000,0.3920000000,6.0000000000,0.4660000000,,62.0000000000,,
5/5/2026 10:00:00 PM,7.2000000000,,0.2560000000,0.0700000000,2.8000000000,2.9140000000,26.1000000000,0.2290000000,8.4000000000,0.2810000000,,62.0000000000,,
5/5/2026 11:00:00 PM,6.3000000000,,0.2240000000,0.0970000000,3.4000000000,3.5100000000,16.1000000000,0.2850000000,7.8000000000,0.3390000000,,67.0000000000,,
5/6/2026 12:00:00 AM,6.7000000000,1018.0000000000,0.2380000000,0.2210000000,4.3000000000,4.5970000000,26.3000000000,0.2350000000,8.7000000000,0.2750000000,57.0000000000,65.0000000000,191.0000000000,3.5000000000
5/6/2026 1:00:00 AM,5.7000000000,1018.0000000000,0.2030000000,0.0040000000,2.5000000000,2.5330000000,10.1000000000,0.1860000000,9.6000000000,0.2100000000,56.0000000000,72.0000000000,177.0000000000,3.9000000000
5/6/2026 2:00:00 AM,6.0000000000,1018.0000000000,0.2140000000,-0.0360000000,2.7000000000,2.6730000000,15.9000000000,0.2070000000,7.8000000000,0.2410000000,56.0000000000,70.0000000000,184.0000000000,2.7000000000
5/6/2026 3:00:00 AM,6.0000000000,1019.0000000000,0.2130000000,0.4010000000,4.4000000000,4.8460000000,13.6000000000,0.1990000000,5.4000000000,0.2250000000,56.0000000000,70.0000000000,173.0000000000,3.7000000000
5/6/2026 4:00:00 AM,6.8000000000,1019.0000000000,0.2420000000,0.3430000000,4.3000000000,4.7080000000,18.3000000000,0.2560000000,6.3000000000,0.2780000000,55.0000000000,64.0000000000,183.0000000000,3.7000000000
5/6/2026 5:00:00 AM,7.0000000000,1020.0000000000,0.2470000000,0.9470000000,4.9000000000,5.8680000000,14.2000000000,0.3490000000,5.9000000000,0.3780000000,55.0000000000,63.0000000000,203.0000000000,4.4000000000
5/6/2026 6:00:00 AM,5.6000000000,1020.0000000000,0.1980000000,2.2160000000,8.1000000000,10.3830000000,14.5000000000,1.0620000000,6.2000000000,1.1040000000,55.0000000000,73.0000000000,198.0000000000,5.0000000000
5/6/2026 7:00:00 AM,4.4000000000,1020.0000000000,0.1560000000,2.1440000000,7.7000000000,9.9300000000,17.9000000000,0.8920000000,6.3000000000,0.9300000000,55.0000000000,84.0000000000,193.0000000000,4.8000000000
5/6/2026 8:00:00 AM,4.4000000000,1020.0000000000,0.1560000000,2.0440000000,5.7000000000,7.8310000000,16.9000000000,0.5220000000,4.9000000000,0.5500000000,55.0000000000,83.0000000000,199.0000000000,4.9000000000
5/6/2026 9:00:00 AM,5.6000000000,1021.0000000000,0.1990000000,2.3100000000,6.3000000000,8.6600000000,21.9000000000,0.6470000000,3.8000000000,0.7400000000,55.0000000000,76.0000000000,190.0000000000,4.4000000000
5/6/2026 10:00:00 AM,4.2000000000,1021.0000000000,0.1480000000,1.5330000000,5.0000000000,6.5380000000,12.9000000000,0.5370000000,3.6000000000,0.5760000000,56.0000000000,86.0000000000,197.0000000000,4.4000000000
5/6/2026 11:00:00 AM,5.1000000000,1021.0000000000,0.1810000000,1.5500000000,4.4000000000,6.0280000000,22.6000000000,0.4140000000,6.1000000000,0.4530000000,58.0000000000,77.0000000000,208.0000000000,5.2000000000
5/6/2026 12:00:00 PM,5.5000000000,1021.0000000000,0.1950000000,1.3400000000,3.6000000000,5.0310000000,14.3000000000,0.3070000000,7.8000000000,0.3510000000,59.0000000000,73.0000000000,212.0000000000,5.2000000000
5/6/2026 1:00:00 PM,4.8000000000,1021.0000000000,0.1710000000,1.4830000000,3.5000000000,5.0400000000,17.3000000000,0.3080000000,4.2000000000,0.3540000000,60.0000000000,79.0000000000,211.0000000000,6.0000000000
5/6/2026 2:00:00 PM,3.8000000000,1021.0000000000,0.1340000000,1.6790000000,4.5000000000,6.2070000000,14.1000000000,0.3670000000,6.3000000000,0.4060000000,60.0000000000,90.0000000000,197.0000000000,6.4000000000
5/6/2026 3:00:00 PM,3.4000000000,1021.0000000000,0.1210000000,1.7540000000,5.0000000000,6.8290000000,12.7000000000,0.4870000000,4.1000000000,0.5330000000,59.0000000000,95.0000000000,201.0000000000,5.8000000000
5/6/2026 4:00:00 PM,3.1000000000,1021.0000000000,0.1090000000,1.1160000000,3.8000000000,4.9420000000,12.8000000000,0.3240000000,2.6000000000,0.3690000000,59.0000000000,99.0000000000,199.0000000000,5.9000000000
5/6/2026 5:00:00 PM,2.9000000000,1021.0000000000,0.1000000000,1.2070000000,6.1000000000,7.3390000000,11.2000000000,0.2780000000,3.5000000000,0.3240000000,59.0000000000,103.0000000000,201.0000000000,5.6000000000
